ProductName,Match_2,Match_4,Match_6,Eng Code,Kor Code
"PRODUCT_NAME: Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",True,True,True,080232,080232
"PRODUCT_NAME: Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch",False,False,False,300450,190590
PRODUCT_NAME: Sugar Free Green Natural Stevia Jar(200 g),False,False,False,170260,210130
"PRODUCT_NAME: Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",True,True,False,100640,100630
PRODUCT_NAME: Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,True,True,True,090230,090230
"PRODUCT_NAME: Wagh Bakri Premium Leaf Tea, Poly Pack, 500g",True,True,True,090230,090230
"PRODUCT_NAME: Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...",True,True,True,210120,210120
"PRODUCT_NAME: Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",False,False,False,210111,090111
PRODUCT_NAME: BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,True,True,True,210120,210120
"PRODUCT_NAME: Organic Tattva, Organic Wheat Dalia / Daliya, 500g",False,False,False,140490,190300
"PRODUCT_NAME: Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",False,False,False,110819,190110
"PRODUCT_NAME: Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",True,True,True,040900,040900
"PRODUCT_NAME: Red Label Natural Care Tea, Chai Made With 5 Ayurvedic Herbs, 1 Kg",True,True,True,090230,090230
PRODUCT_NAME: Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,False,False,False,100890,180690
"PRODUCT_NAME: Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",False,False,False,300450,200989
"PRODUCT_NAME: Catch Red Chilli Powder, 100g",True,False,False,210111,210390
"PRODUCT_NAME: Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",False,False,False,051199,230910
"PRODUCT_NAME: Fresh Baby Orange Nagpur, 1kg",True,True,True,080510,080510
"PRODUCT_NAME: Britannia Milk Bikis Biscuits, 170.5g or 190.5g",True,True,True,190531,190531
"PRODUCT_NAME: Nescafé Classic Instant Ground Coffee, 200g Stabilo, Bag",False,False,False,210111,090190
"PRODUCT_NAME: Mother Dairy Pure Healthy Ghee, 1L",True,False,False,040150,040590
"PRODUCT_NAME: Cadbury Dairy Milk Crispello Chocolate Bar, 35 g",True,True,True,180632,180632
"PRODUCT_NAME: TE-A-ME Purify Green Tea, 100 Tea Bags | Green tea bags 100 pcs | Green Tea | Green Tea 100 Tea Bag Pack",True,True,False,090210,090230
"PRODUCT_NAME: Hershey's Chocolate Syrup, 200g",True,True,False,180620,180690
"PRODUCT_NAME: Parle Monaco Classic, 400g",False,False,False,151710,180690
"PRODUCT_NAME: Tata Tea Premium Teaveda | Premium Assam Tea Leaves | With Goodness of Time-tested Indian Ingredients -Tulsi, Elaichi, Gin...",False,False,False,090230,210120
"PRODUCT_NAME: Nestlé NAN PRO 4 Follow-Up Formula Powder - After 18 months, Up to 24 months, Stage 4, 400g Bag-In-Box Pack",False,False,False,300450,190590
PRODUCT_NAME: Dabur Hommade Lemoneez- Goodness of 33 lemons - 250 ml,False,False,False,200939,220600
"PRODUCT_NAME: Fresh Organic Ginger, 100g",False,False,False,210120,070320
"PRODUCT_NAME: More Bengal Gram Dal - Roasted, 500g (Loose)",False,False,False,020910,110610
PRODUCT_NAME: Saffola Active Refined Oil|Blend of Rice Bran Oil & Soyabean Oil|Cooking Oil|Pro Weight Watchers Edible Oil 5 litre Jar,True,True,True,151620,151620
PRODUCT_NAME: Herbalife Nutrition Natural Tulsi Afresh Energy Drink Mix,True,True,True,210111,210111
"PRODUCT_NAME: Thums Up Soft Drink PET Bottle, 2.25 L",True,False,False,220210,220600
"PRODUCT_NAME: Tata Sampann Chaat Masala with Natural Oils, Crafted by Chef Sanjeev Kapoor, 100g",True,False,False,210390,210120
"PRODUCT_NAME: Brooke Bond, Red Label, 100g",True,True,True,090230,090230
